[-43, -45, -45, -45, -56, -48, -48, -48, -49, -49, -54, -54]
[-44, -43, -43, -44, -54, -47, -47, -47, -58, -58, -54, -54]
[-46, -46, -46, -46, -54, -43, -43, -43, -54, -53, -49, -54]
[-44, -45, -44, -45, -50, -44, -44, -44, -60, -60, -51, -50]
[-44, -45, -46, -45, -55, -40, -40, -40, -53, -53, -55, -55]
[-56, -57, -57, -57, -55, -44, -44, -44, -52, -52, -63, -63]
[-56, -58, -58, -58, -61, -40, -40, -40, -51, -51, -60, -61]
[-56, -55, -55, -55, -59, -46, -46, -46, -52, -52, -58, -58]
[-54, -61, -61, -61, -60, -43, -43, -43, -57, -57, -60, -60]
[-50, -52, -53, -52, -57, -55, -55, -55, -58, -58, -60, -54]
[-49, -49, -49, -49, -54, -55, -55, -55, -59, -59, -54, -54]
[-49, -49, -49, -49, -55, -53, -54, -54, -57, -57, -55, -55]
[-49, -55, -55, -55, -56, -47, -47, -47, -48, -48, -56, -55]
[-47, -47, -47, -47, -56, -44, -44, -44, -48, -48, -56, -56]
[-51, -51, -51, -51, -56, -47, -47, -47, -60, -60, -56, -56]
[-48, -48, -48, -48, -52, -43, -43, -43, -60, -60, -52, -52]
[-46, -46, -46, -46, -57, -45, -45, -45, -49, -49, -57, -57]
[-48, -48, -48, -48, -58, -56, -56, -56, -53, -53, -58, -57]
[-50, -50, -51, -51, -55, -51, -51, -51, -57, -57, -55, -54]
[-49, -49, -48, -49, -57, -52, -52, -52, -52, -51, -57, -57]
[-48, -52, -52, -52, -57, -50, -50, -50, -53, -54, -49, -49]
[-50, -50, -50, -50, -57, -39, -39, -39, -48, -48, -55, -55]
[-49, -50, -49, -49, -53, -44, -44, -44, -60, -60, -53, -53]
[-48, -48, -48, -48, -55, -49, -49, -49, -59, -59, -54, -54]
[-47, -49, -49, -49, -55, -42, -41, -41, -50, -50, -51, -54]
[-43, -49, -48, -48, -55, -53, -53, -53, -54, -54, -55, -54]
[-43, -46, -46, -46, -53, -55, -55, -55, -55, -55, -52, -52]
[-48, -49, -49, -49, -51, -50, -49, -50, -53, -53, -51, -51]
[-49, -50, -50, -50, -57, -52, -51, -52, -54, -54, -57, -57]
[-42, -46, -46, -46, -56, -46, -46, -46, -51, -52, -56, -56]
[-45, -46, -46, -46, -50, -44, -43, -44, -62, -62, -50, -50]
[-46, -50, -50, -50, -57, -47, -47, -47, -64, -64, -56, -57]
[-50, -50, -50, -50, -58, -44, -44, -44, -60, -60, -58, -58]
[-55, -55, -55, -55, -60, -46, -47, -46, -52, -52, -60, -60]
[-52, -58, -58, -58, -65, -48, -47, -47, -50, -50, -66, -66]
[-53, -53, -53, -53, -53, -44, -44, -44, -53, -53, -66, -66]
[-53, -54, -54, -54, -52, -48, -48, -48, -48, -48, -53, -52]
[-50, -54, -54, -54, -57, -54, -54, -54, -49, -49, -57, -57]
[-49, -50, -49, -49, -64, -50, -50, -50, -57, -57, -64, -64]
[-53, -55, -55, -55, -60, -51, -51, -51, -55, -55, -60, -60]
[-49, -52, -52, -52, -66, -51, -51, -52, -51, -51, -60, -66]
[-46, -45, -46, -46, -66, -50, -50, -50, -54, -54, -57, -66]
[-41, -44, -44, -44, -66, -46, -46, -46, -48, -48, -54, -54]
[-44, -48, -49, -48, -66, -41, -41, -41, -56, -56, -59, -54]
[-47, -47, -47, -47, -60, -43, -43, -43, -55, -55, -59, -59]
[-47, -50, -50, -50, -65, -41, -41, -41, -57, -57, -65, -65]
[-49, -56, -56, -56, -63, -52, -52, -52, -52, -52, -64, -63]
[-55, -56, -56, -56, -62, -45, -46, -45, -54, -54, -62, -62]
[-49, -50, -50, -50, -63, -43, -42, -43, -55, -55, -63, -63]
[-49, -49, -49, -49, -67, -39, -39, -39, -54, -54, -67, -67]
[-57, -59, -59, -59, -60, -51, -51, -51, -54, -54, -61, -67]
[-52, -52, -52, -52, -56, -43, -43, -43, -46, -46, -56, -56]
[-52, -53, -53, -53, -56, -46, -46, -46, -47, -44, -56, -56]
[-49, -49, -49, -49, -52, -57, -57, -57, -51, -51, -52, -52]
[-48, -50, -50, -50, -54, -57, -57, -57, -53, -53, -54, -54]
[-46, -46, -46, -46, -53, -49, -49, -49, -52, -52, -53, -53]
[-49, -49, -49, -49, -51, -49, -49, -49, -53, -53, -51, -52]
[-49, -52, -52, -52, -55, -47, -47, -47, -49, -49, -56, -56]
[-47, -47, -47, -47, -59, -48, -48, -48, -50, -50, -59, -59]
[-44, -44, -44, -44, -59, -45, -45, -45, -53, -53, -51, -51]
[-43, -49, -49, -49, -51, -43, -43, -43, -55, -55, -51, -51]
[-43, -45, -45, -45, -52, -45, -45, -45, -56, -56, -52, -52]
[-51, -54, -54, -54, -56, -44, -44, -44, -51, -51, -56, -56]
[-52, -52, -52, -52, -54, -42, -42, -42, -52, -52, -54, -54]
[-55, -55, -55, -55, -64, -44, -45, -45, -56, -56, -64, -64]
[-57, -57, -57, -57, -65, -43, -43, -43, -52, -52, -65, -65]
[-55, -59, -58, -59, -58, -42, -42, -42, -57, -57, -58, -58]
[-51, -52, -52, -52, -55, -49, -49, -49, -46, -47, -55, -55]
[-46, -48, -48, -48, -55, -52, -52, -52, -46, -57, -55, -55]
[-45, -45, -45, -45, -59, -52, -52, -52, -46, -55, -59, -59]
[-47, -47, -47, -47, -51, -48, -48, -48, -46, -51, -51, -51]
[-49, -49, -49, -49, -51, -44, -44, -44, -49, -49, -55, -55]
[-42, -45, -45, -45, -56, -43, -43, -43, -51, -51, -56, -56]
[-44, -46, -46, -46, -51, -46, -46, -46, -55, -54, -51, -51]
[-45, -50, -50, -50, -55, -46, -45, -46, -61, -61, -55, -55]
[-49, -49, -49, -49, -51, -42, -42, -42, -58, -58, -51, -51]
[-54, -54, -54, -54, -56, -49, -49, -49, -49, -49, -56, -56]
[-54, -54, -54, -54, -53, -50, -50, -50, -46, -46, -53, -53]
[-47, -47, -47, -47, -53, -54, -54, -54, -46, -46, -51, -51]
