[-68, -68, -68, -68, -79, -65, -65, -65, -41, -45, -79, -79]
[-73, -73, -73, -73, -77, -65, -65, -65, -43, -45, -77, -77]
[-71, -71, -71, -71, -74, -64, -64, -63, -43, -45, -74, -74]
[-68, -68, -68, -68, -75, -61, -61, -61, -41, -46, -75, -75]
[-70, -69, -69, -70, -77, -63, -63, -63, -42, -45, -77, -77]
[-73, -73, -73, -73, -75, -53, -53, -53, -42, -45, -75, -75]
[-70, -69, -70, -70, -74, -53, -53, -53, -43, -53, -74, -74]
[-73, -73, -74, -74, -78, -62, -62, -62, -40, -46, -79, -79]
[-75, -75, -75, -75, -79, -66, -66, -66, -40, -44, -79, -79]
[-77, -77, -77, -77, -78, -65, -65, -65, -40, -41, -77, -78]
[-72, -72, -72, -71, -77, -65, -65, -66, -42, -43, -77, -76]
[-71, -72, -71, -71, -76, -58, -58, -58, -39, -39, -76, -76]
[-70, -69, -69, -69, -77, -56, -56, -56, -41, -43, -76, -76]
[-69, -69, -69, -69, -76, -57, -57, -57, -40, -44, -76, -76]
[-69, -69, -69, -69, -75, -56, -56, -56, -41, -43, -75, -76]
[-71, -71, -71, -71, -74, -55, -55, -55, -40, -44, -74, -74]
[-66, -66, -66, -66, -77, -55, -56, -56, -46, -48, -77, -77]
[-68, -68, -68, -68, -75, -57, -57, -57, -46, -47, -75, -75]
[-68, -68, -68, -68, -76, -54, -54, -54, -42, -49, -76, -76]
[-71, -71, -71, -71, -73, -56, -56, -57, -48, -53, -73, -73]
[-70, -69, -69, -69, -77, -54, -54, -54, -40, -43, -77, -77]
[-66, -66, -66, -66, -80, -64, -64, -64, -38, -42, -80, -80]
[-64, -64, -64, -64, -78, -55, -55, -55, -39, -47, -78, -78]
[-67, -67, -67, -67, -76, -56, -56, -56, -40, -48, -76, -76]
[-71, -71, -71, -72, -75, -57, -57, -57, -43, -46, -76, -76]
[-68, -68, -68, -68, -75, -55, -55, -55, -49, -53, -75, -75]
[-66, -66, -66, -66, -76, -57, -57, -57, -57, -58, -75, -75]
[-70, -70, -70, -70, -72, -57, -57, -57, -53, -55, -72, -71]
[-70, -70, -70, -70, -77, -56, -56, -57, -41, -43, -76, -77]
[-71, -71, -71, -71, -72, -53, -53, -53, -42, -44, -72, -72]
[-72, -72, -72, -72, -72, -55, -55, -55, -48, -50, -72, -72]
[-70, -70, -71, -70, -75, -53, -53, -53, -45, -45, -75, -75]
[-68, -68, -68, -68, -73, -58, -57, -57, -42, -43, -73, -73]
[-70, -70, -70, -70, -81, -56, -56, -56, -40, -40, -81, -81]
[-70, -70, -70, -70, -79, -55, -54, -55, -40, -40, -80, -79]
[-73, -73, -73, -74, -81, -58, -58, -58, -42, -42, -81, -82]
[-73, -73, -73, -73, -81, -64, -64, -64, -41, -45, -80, -81]
[-76, -76, -76, -76, -82, -67, -67, -67, -44, -45, -82, -82]
[-72, -72, -72, -72, -80, -52, -52, -52, -42, -45, -80, -80]
[-74, -73, -74, -74, -78, -63, -63, -63, -42, -46, -78, -78]
[-72, -72, -72, -72, -77, -61, -61, -61, -41, -43, -77, -77]
[-74, -74, -74, -75, -78, -59, -58, -58, -41, -46, -78, -78]
[-74, -74, -74, -74, -76, -56, -56, -56, -40, -44, -75, -75]
[-71, -71, -71, -71, -74, -55, -55, -55, -41, -43, -74, -74]
[-71, -71, -71, -71, -77, -54, -54, -54, -42, -45, -77, -77]
[-73, -73, -73, -73, -79, -60, -59, -60, -37, -37, -79, -78]
[-73, -73, -73, -73, -78, -57, -57, -57, -42, -42, -79, -79]
[-73, -72, -72, -73, -82, -53, -53, -54, -43, -49, -81, -81]
[-70, -70, -70, -70, -77, -55, -55, -55, -42, -43, -77, -76]
[-71, -71, -71, -71, -76, -58, -58, -58, -42, -44, -75, -76]
[-75, -75, -75, -75, -81, -59, -59, -59, -40, -41, -81, -82]
[-64, -64, -64, -64, -75, -56, -56, -56, -44, -45, -75, -75]
[-66, -66, -66, -66, -75, -55, -55, -55, -47, -47, -75, -75]
[-72, -72, -72, -72, -75, -53, -53, -53, -40, -44, -75, -75]
[-72, -72, -72, -72, -74, -61, -61, -61, -45, -47, -74, -74]
[-69, -69, -69, -69, -75, -62, -62, -62, -43, -46, -75, -76]
[-70, -70, -70, -70, -76, -60, -60, -60, -40, -41, -75, -75]
[-73, -73, -73, -73, -83, -64, -64, -64, -40, -43, -82, -82]
[-75, -75, -75, -75, -80, -69, -68, -69, -42, -43, -81, -81]
[-77, -77, -76, -76, -79, -66, -67, -67, -41, -44, -79, -79]
[-71, -71, -72, -71, -81, -65, -65, -65, -42, -45, -80, -80]
[-73, -73, -73, -73, -74, -57, -57, -57, -40, -43, -74, -74]
[-69, -69, -69, -69, -75, -54, -54, -54, -40, -45, -75, -75]
[-71, -71, -71, -71, -76, -55, -55, -55, -48, -51, -76, -76]
[-71, -71, -71, -71, -76, -54, -54, -54, -45, -49, -75, -76]
[-70, -70, -70, -70, -74, -55, -54, -54, -44, -45, -75, -75]
[-72, -72, -72, -72, -78, -56, -56, -56, -43, -44, -78, -78]
[-73, -73, -73, -73, -76, -53, -53, -53, -44, -44, -75, -76]
[-68, -67, -68, -68, -73, -56, -56, -56, -47, -47, -72, -73]
[-69, -69, -69, -69, -76, -55, -55, -55, -47, -51, -76, -76]
[-70, -70, -70, -70, -72, -58, -59, -58, -49, -49, -71, -72]
[-69, -69, -69, -69, -73, -58, -58, -58, -44, -47, -73, -73]
[-66, -65, -65, -65, -71, -60, -60, -60, -42, -45, -71, -71]
[-70, -70, -70, -70, -75, -60, -61, -61, -40, -45, -74, -75]
[-68, -68, -68, -68, -71, -63, -63, -63, -43, -44, -71, -71]
[-65, -65, -65, -65, -77, -62, -61, -62, -40, -42, -77, -75]
[-71, -72, -72, -72, -76, -55, -55, -55, -41, -45, -76, -76]
[-73, -73, -73, -73, -75, -55, -55, -55, -43, -45, -75, -75]
[-71, -71, -71, -71, -78, -55, -55, -55, -43, -48, -78, -78]
[-72, -73, -73, -73, -77, -54, -54, -54, -46, -46, -77, -77]
[-75, -75, -75, -75, -80, -65, -65, -64, -51, -54, -80, -80]
[-74, -74, -73, -74, -79, -56, -55, -55, -40, -45, -80, -79]
[-71, -71, -72, -71, -75, -52, -52, -52, -43, -44, -75, -75]
[-68, -68, -68, -68, -74, -51, -51, -51, -45, -46, -74, -74]
[-71, -70, -71, -71, -77, -55, -55, -55, -45, -47, -76, -76]
[-69, -69, -69, -69, -76, -58, -58, -57, -44, -44, -76, -75]
[-70, -70, -70, -70, -75, -60, -60, -60, -41, -45, -75, -75]
[-75, -75, -75, -74, -77, -69, -69, -69, -42, -44, -76, -76]
[-76, -76, -76, -76, -81, -63, -63, -63, -40, -43, -80, -80]
[-75, -75, -75, -75, -81, -64, -64, -65, -40, -43, -81, -82]
[-73, -73, -73, -73, -76, -54, -53, -53, -42, -42, -76, -76]
[-71, -71, -71, -71, -78, -56, -56, -56, -41, -43, -78, -78]
[-74, -74, -74, -74, -73, -51, -51, -51, -43, -47, -73, -73]
[-67, -67, -66, -67, -78, -54, -53, -53, -46, -46, -77, -77]
[-66, -66, -66, -66, -75, -61, -61, -61, -41, -45, -75, -75]
[-69, -70, -70, -70, -78, -56, -56, -56, -40, -44, -79, -79]
[-74, -74, -74, -74, -79, -58, -58, -58, -41, -44, -80, -80]
[-66, -66, -66, -66, -82, -56, -56, -56, -40, -45, -81, -82]
[-75, -75, -76, -76, -84, -61, -61, -61, -40, -44, -83, -83]
[-71, -71, -71, -71, -80, -54, -54, -54, -41, -44, -80, -80]
[-72, -71, -72, -72, -76, -54, -54, -54, -44, -49, -76, -76]
[-71, -71, -71, -71, -76, -55, -55, -55, -48, -49, -77, -77]
[-73, -74, -73, -73, -76, -57, -57, -57, -41, -41, -76, -76]
[-68, -69, -69, -69, -73, -58, -58, -58, -40, -46, -73, -73]
[-70, -70, -70, -71, -75, -64, -64, -64, -37, -40, -75, -75]
[-73, -73, -73, -73, -79, -74, -74, -74, -40, -42, -79, -78]
[-70, -70, -70, -70, -78, -61, -61, -61, -41, -45, -77, -78]
[-77, -77, -77, -77, -82, -72, -72, -72, -41, -45, -83, -82]
