[-54.0, -57.0, -56.0, -56.0, -58.0, -46.0, -46.0, -46.0, -54.0, -54.0, -58.0, -58.0]
[-50.0, -50.0, -50.0, -50.0, -54.0, -47.0, -47.0, -47.0, -54.0, -54.0, -54.0, -54.0]
[-50.0, -52.0, -52.0, -52.0, -52.0, -45.0, -45.0, -45.0, -62.0, -62.0, -52.0, -53.0]
[-50.0, -50.0, -50.0, -50.0, -51.0, -47.0, -47.0, -47.0, -55.0, -55.0, -50.0, -51.0]
[-49.0, -49.0, -49.0, -49.0, -50.0, -46.0, -46.0, -45.0, -58.0, -58.0, -50.0, -50.0]
[-48.0, -55.0, -55.0, -56.0, -52.0, -51.0, -51.0, -51.0, -64.0, -63.0, -52.0, -52.0]
[-53.0, -55.0, -54.0, -54.0, -52.0, -40.0, -41.0, -41.0, -60.0, -60.0, -52.0, -52.0]
[-53.0, -59.0, -58.0, -59.0, -59.0, -46.0, -46.0, -46.0, -58.0, -58.0, -59.0, -59.0]
[-53.0, -55.0, -55.0, -55.0, -57.0, -47.0, -47.0, -47.0, -57.0, -57.0, -56.0, -57.0]
[-53.0, -61.0, -60.0, -61.0, -59.0, -49.0, -49.0, -49.0, -58.0, -58.0, -59.0, -59.0]
[-54.0, -54.0, -54.0, -54.0, -62.0, -40.0, -39.0, -39.0, -59.0, -59.0, -62.0, -62.0]
[-55.0, -58.0, -58.0, -58.0, -63.0, -43.0, -43.0, -43.0, -60.0, -61.0, -63.0, -63.0]
[-47.0, -48.0, -48.0, -48.0, -55.0, -45.0, -45.0, -44.0, -61.0, -61.0, -55.0, -55.0]
[-48.0, -49.0, -49.0, -49.0, -54.0, -49.0, -49.0, -49.0, -68.0, -68.0, -54.0, -54.0]
[-49.0, -51.0, -51.0, -51.0, -56.0, -48.0, -48.0, -48.0, -66.0, -66.0, -56.0, -56.0]
[-48.0, -55.0, -55.0, -55.0, -57.0, -46.0, -46.0, -46.0, -66.0, -65.0, -56.0, -56.0]
[-52.0, -57.0, -57.0, -57.0, -56.0, -47.0, -47.0, -47.0, -68.0, -68.0, -56.0, -56.0]
[-50.0, -54.0, -54.0, -55.0, -52.0, -48.0, -48.0, -48.0, -65.0, -65.0, -52.0, -52.0]
[-51.0, -51.0, -51.0, -51.0, -58.0, -48.0, -48.0, -48.0, -64.0, -65.0, -58.0, -58.0]
[-48.0, -49.0, -49.0, -49.0, -57.0, -47.0, -48.0, -48.0, -61.0, -61.0, -57.0, -57.0]
[-48.0, -54.0, -54.0, -54.0, -55.0, -44.0, -44.0, -44.0, -60.0, -59.0, -54.0, -54.0]
[-47.0, -52.0, -52.0, -52.0, -50.0, -43.0, -43.0, -43.0, -63.0, -63.0, -50.0, -50.0]
[-46.0, -51.0, -51.0, -51.0, -48.0, -47.0, -47.0, -47.0, -58.0, -58.0, -48.0, -48.0]
[-45.0, -47.0, -47.0, -47.0, -51.0, -48.0, -48.0, -48.0, -56.0, -56.0, -51.0, -51.0]
[-45.0, -49.0, -49.0, -49.0, -46.0, -50.0, -50.0, -50.0, -64.0, -65.0, -47.0, -46.0]
[-47.0, -49.0, -49.0, -49.0, -51.0, -54.0, -54.0, -54.0, -61.0, -61.0, -50.0, -50.0]
[-47.0, -59.0, -58.0, -58.0, -55.0, -56.0, -56.0, -57.0, -61.0, -61.0, -55.0, -55.0]
[-50.0, -59.0, -59.0, -59.0, -58.0, -44.0, -44.0, -44.0, -61.0, -61.0, -58.0, -58.0]
[-56.0, -58.0, -58.0, -58.0, -56.0, -41.0, -41.0, -41.0, -57.0, -57.0, -56.0, -56.0]
[-60.0, -60.0, -60.0, -60.0, -58.0, -46.0, -46.0, -46.0, -56.0, -56.0, -57.0, -58.0]
[-59.0, -60.0, -60.0, -60.0, -63.0, -51.0, -51.0, -51.0, -56.0, -56.0, -63.0, -63.0]
[-48.0, -52.0, -52.0, -52.0, -56.0, -44.0, -44.0, -44.0, -59.0, -59.0, -56.0, -56.0]
[-50.0, -50.0, -50.0, -50.0, -60.0, -46.0, -46.0, -46.0, -65.0, -64.0, -61.0, -61.0]
[-51.0, -50.0, -50.0, -50.0, -55.0, -49.0, -49.0, -49.0, -67.0, -67.0, -55.0, -55.0]
[-49.0, -50.0, -50.0, -50.0, -46.0, -48.0, -48.0, -48.0, -58.0, -58.0, -45.0, -45.0]
[-47.0, -47.0, -47.0, -47.0, -50.0, -49.0, -49.0, -49.0, -57.0, -56.0, -50.0, -51.0]
[-51.0, -55.0, -55.0, -54.0, -55.0, -53.0, -53.0, -53.0, -63.0, -63.0, -55.0, -55.0]
[-49.0, -51.0, -51.0, -51.0, -56.0, -54.0, -53.0, -54.0, -60.0, -60.0, -56.0, -56.0]
[-54.0, -58.0, -58.0, -57.0, -55.0, -58.0, -58.0, -58.0, -55.0, -55.0, -55.0, -55.0]
[-53.0, -61.0, -61.0, -61.0, -56.0, -52.0, -52.0, -52.0, -57.0, -57.0, -57.0, -56.0]
[-48.0, -48.0, -48.0, -48.0, -56.0, -46.0, -46.0, -46.0, -61.0, -61.0, -56.0, -56.0]
[-47.0, -50.0, -50.0, -50.0, -52.0, -38.0, -37.0, -37.0, -63.0, -63.0, -52.0, -52.0]
[-49.0, -50.0, -50.0, -50.0, -49.0, -45.0, -45.0, -45.0, -59.0, -58.0, -49.0, -49.0]
[-47.0, -53.0, -53.0, -53.0, -49.0, -37.0, -37.0, -37.0, -58.0, -58.0, -49.0, -49.0]
[-54.0, -61.0, -61.0, -61.0, -49.0, -42.0, -41.0, -42.0, -56.0, -56.0, -49.0, -49.0]
[-54.0, -54.0, -54.0, -54.0, -49.0, -39.0, -38.0, -38.0, -55.0, -55.0, -49.0, -49.0]
[-51.0, -51.0, -51.0, -51.0, -49.0, -52.0, -52.0, -52.0, -59.0, -60.0, -49.0, -49.0]
[-51.0, -56.0, -56.0, -56.0, -49.0, -53.0, -53.0, -54.0, -58.0, -58.0, -49.0, -49.0]
[-51.0, -57.0, -57.0, -57.0, -49.0, -54.0, -54.0, -54.0, -59.0, -59.0, -49.0, -49.0]
[-55.0, -55.0, -55.0, -55.0, -49.0, -46.0, -46.0, -46.0, -60.0, -60.0, -49.0, -49.0]
[-49.0, -56.0, -56.0, -56.0, -49.0, -45.0, -45.0, -45.0, -64.0, -64.0, -49.0, -49.0]
[-51.0, -50.0, -51.0, -51.0, -49.0, -46.0, -46.0, -46.0, -62.0, -63.0, -49.0, -49.0]
[-49.0, -50.0, -50.0, -50.0, -49.0, -45.0, -45.0, -46.0, -62.0, -63.0, -49.0, -49.0]
[-51.0, -53.0, -53.0, -53.0, -49.0, -44.0, -44.0, -44.0, -52.0, -52.0, -49.0, -49.0]
[-51.0, -55.0, -55.0, -55.0, -49.0, -42.0, -42.0, -42.0, -57.0, -57.0, -49.0, -49.0]
[-49.0, -49.0, -49.0, -49.0, -49.0, -46.0, -46.0, -46.0, -57.0, -57.0, -49.0, -49.0]
[-47.0, -52.0, -52.0, -52.0, -49.0, -46.0, -46.0, -46.0, -56.0, -55.0, -49.0, -49.0]
[-50.0, -57.0, -58.0, -58.0, -49.0, -42.0, -42.0, -42.0, -55.0, -55.0, -49.0, -49.0]
[-57.0, -61.0, -61.0, -62.0, -49.0, -39.0, -39.0, -39.0, -55.0, -55.0, -49.0, -49.0]
[-59.0, -62.0, -61.0, -61.0, -49.0, -41.0, -41.0, -41.0, -56.0, -56.0, -49.0, -49.0]
[-58.0, -59.0, -59.0, -59.0, -49.0, -47.0, -47.0, -47.0, -57.0, -58.0, -49.0, -49.0]
[-52.0, -51.0, -52.0, -51.0, -49.0, -56.0, -56.0, -56.0, -57.0, -57.0, -49.0, -49.0]
[-48.0, -51.0, -51.0, -51.0, -56.0, -51.0, -51.0, -51.0, -55.0, -55.0, -57.0, -56.0]
[-44.0, -50.0, -50.0, -51.0, -56.0, -49.0, -49.0, -49.0, -54.0, -54.0, -56.0, -56.0]
[-51.0, -51.0, -51.0, -51.0, -58.0, -55.0, -55.0, -56.0, -59.0, -59.0, -59.0, -58.0]
[-48.0, -52.0, -53.0, -53.0, -56.0, -54.0, -54.0, -54.0, -61.0, -60.0, -56.0, -56.0]
[-52.0, -59.0, -58.0, -58.0, -57.0, -54.0, -54.0, -54.0, -58.0, -58.0, -56.0, -56.0]
[-52.0, -56.0, -56.0, -56.0, -58.0, -40.0, -39.0, -39.0, -56.0, -56.0, -58.0, -58.0]
[-56.0, -56.0, -56.0, -56.0, -61.0, -43.0, -43.0, -44.0, -59.0, -59.0, -61.0, -61.0]
[-49.0, -52.0, -52.0, -52.0, -54.0, -48.0, -48.0, -48.0, -64.0, -64.0, -54.0, -54.0]
[-50.0, -51.0, -51.0, -51.0, -57.0, -44.0, -44.0, -44.0, -56.0, -56.0, -57.0, -57.0]
[-44.0, -44.0, -44.0, -44.0, -56.0, -44.0, -44.0, -44.0, -61.0, -61.0, -56.0, -56.0]
[-46.0, -61.0, -60.0, -60.0, -51.0, -45.0, -44.0, -44.0, -66.0, -66.0, -51.0, -51.0]
[-58.0, -63.0, -63.0, -63.0, -61.0, -44.0, -44.0, -44.0, -62.0, -62.0, -60.0, -61.0]
[-48.0, -55.0, -55.0, -55.0, -57.0, -49.0, -49.0, -49.0, -66.0, -66.0, -57.0, -57.0]
